published_at,cleaned_text,sentiment_score,sentiment,topic
2024-11-24T09:09:02Z,trump want crack import business preparing worst consumer business may nowhere hide trump tariff instead waiting around trying get ahead new import tax anucha sirivisansuwan getty drew angerer getty tyler le bi day election caught strange googling mostly low grade curiosity economic implica 9268 char freight rate,-0.7337,negative,freight rates
2024-12-16T19:49:39Z,drove 63 000 infiniti qx60 stylish luxury suv let unrefined engine drove 2025 infiniti qx60 luxury suv luxe black edition trim impressed sleek design quiet ride well designed cabin 2025 infiniti qx60 luxe black edition benjamin zhang business insider ul li infiniti qx60 midsize three row luxury suv brand best selling model li li impressed 7260 char freight rate,0.91,positive,freight rates
2024-12-16T15:32:09Z,removed removed removed freight rate,0.0,neutral,freight rates
2024-12-13T01:00:05Z,doge greater potential arguably found de regulation call early railroad assembly line wheel san bernardino ca may 15 freight train pass diagonally shifted layer earth cross san andreas rift zone system depression ground parallel fa 4927 char freight rate,-0.4939,negative,freight rates
2024-12-15T01:30:00Z,rising rejection rate amid demand drop reveal truckload capacity exodus nuance freight market flip transitioning truckload market unlike post rising rejection rate amid demand drop photo jim allen freightwaves chart week contract load accepted volume index outbound tender volume index usa sonar clav usa otri usa carrier accepting load volume 4877 char freight rate,-0.8176,negative,freight rates
2024-12-03T01:06:40Z,amazon trucking contractor higher rate safety violation cbs news find contracted trucker hauling package amazon facility likely engage dangerous behavior road carrier according federal data analyzed cbs news death 19 year old college student texas highway raising question fleet driver amazon us move package facility college freshman iliana velez life 8883 char freight rate,-0.4404,negative,freight rates
2024-12-13T22:39:52Z,carrier revenge freight market impending power shift ever evolving landscape freight industry new phenomenon emerging threatens upend delicate balance shipper sign market recovery could different dynamic hold power pricing photo jim allen freightwaves ever evolving landscape freight industry new phenomenon em 4212 char freight rate,-0.4939,negative,freight rates
2024-12-09T06:03:19Z,analysis strong momentum make hard bet freight train u stock rally relentless rally u stock showing sign slowing year end even rising valuation sign excessive speculation fuel worry saqib iqbal ahmed new york reuters relentless rally u stock showing sign slowing year end even rising valuation sign excessive speculation fuel worry 4495 char freight rate,-0.3612,negative,freight rates
2024-12-20T15:56:30Z,stand alone fedex freight give ltl investor another pure play spinoff fedex freight give investor option play le truckload space post stand alone fedex freight give ltl investor fedex looking cash newfound love ltl equity photo jim allen freightwaves investor getting optionality come playing le truckload market fed 7424 char freight rate,0.7783,positive,freight rates
2024-12-22T01:30:00Z,maritime momentum continue 2025 import demand increased past two year company largely corrected inventory navigated treacherous water maritime industry photo jim allen freightwaves chart week inbound ocean teus index custom teus index usa sonar ioti usa csteu usa u container import demand 20 two 6012 char freight rate,0.0258,positive,freight rates
2024-12-16T10:15:20Z,lagarde say ecb continue cut interest rate european central bank chief christine lagarde said monday eurozone policymakers would keep cutting interest rate warned higher u tariff president elect donald trump could hit growth bloc european central bank chief christine lagarde said monday eurozone policymakers would keep cutting interest rate warned higher u tariff president elect donald trump could hit growth 2117 char freight rate,0.7845,positive,freight rates
2024-12-08T01:30:00Z,reefer market tightens rising tender rejection signal shifting dynamic rising reefer tender rejection rate suggest refrigerated truckload market facing tighter transportation procurement environment post reefer photo jim allen freightwaves chart week oreefer outbound tender reject index van outbound tender reject index usa sonar rotri usa votri usa national refrigerated reefer tender rejec 5203 char freight rate,-0.8689,negative,freight rates
2024-12-18T06:05:25Z,nike stock could rise 2x recovers pre inflation shock high company scheduled announce second quarter earnings thursday 19th december wuhan china december 05 pedestrian walk past nike store featuring modern design mannequin displaying winter apparel december 5 2024 wuhan hubei province china 7129 char freight rate,-0.3818,negative,freight rates
2024-12-11T19:05:34Z,nuance ocean freight rate could another front loading tea leaf ocean freight rate jumped december 15 31 booking signaling tightness space due demand logistics manager tell gcaptain special bullet rate quickly disappeared time spot heading lori ann larocco gcaptain ocean freight rate jumped december 15 31 booking signaling tightness space due demand logistics manager tell gcaptain special bullet 3108 char freight rate,0.3612,positive,freight rates
2024-12-01T14:23:00Z,overhanging storm red sea global trade disrupted red sea attack forcing ship avoid suez canal impacting transit time freight rate year since houthi militant began attacking commercial ship red sea leading major disruption global trade commercial ship largely avoid suez canal shortest 4469 char freight rate,-0.9001,negative,freight rates
2024-12-02T16:21:08Z,hapag lloyd expects lower profitability fourth quarter hapag lloyd expects lower profitability fourth quarter still good level freight rate peaked third quarter rolf habben jansen ceo german shipping company said press conference monday dec 2 reuters hapag lloyd expects lower profitability fourth quarter still good level freight rate peaked third quarter rolf habben jansen ceo german 1171 char freight rate,0.6705,positive,freight rates
2024-12-16T19:01:17Z,amazon ignored warning worker injury senate probe find e commerce giant executive allegedly rejected safety recommendation urging production quota curtailed amazon knew link increased worker injury company production quota executive allegedly rejected safety recommendation loosen mandate investigation 2992 char freight rate,-0.7783,negative,freight rates
2024-12-20T04:43:24Z,stock market today wall street drift toward close dismal week p 500 edged 0 1 struggle continue federal reserve warned wednesday may deliver fewer cut interest rate next year new york ap u stock drifting friday toward close one worst week year amp p 500 edged 0 1 struggle continue federal reserve warned 4113 char freight rate,-0.9325,negative,freight rates
